2023/08/05 15:22:41.789 [E] [xgo.go:47]  读取配置文件失败 Config File "configx" Not Found in "[D:\\xgo D:\\xgo\\configx]"
2023/08/05 16:22:06.926 [E] [xdb.go:194]  select * from x_configx limit 1 [] Error 1146 (42S02): Table 'x_hash_game.x_configx' doesn't exist
2023/08/05 16:22:20.260 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:22:20.780 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:25:20.704 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:25:21.219 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:26:53.442 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:26:53.958 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:27:24.109 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:27:24.625 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:27:34.137 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:27:34.654 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:27:55.894 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:27:56.408 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:28:29.008 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:28:29.535 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:29:39.666 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:29:40.182 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:29:58.474 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:29:58.994 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:30:45.924 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:30:46.445 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:31:25.553 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:31:26.069 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:31:43.537 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:31:44.041 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:32:05.565 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:32:06.070 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:34:08.321 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:34:08.852 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:34:09.382 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:34:19.120 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:34:22.297 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:34:22.822 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:34:23.361 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:34:37.767 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:34:38.291 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:34:41.415 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:34:41.941 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:34:42.468 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:34:47.406 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:34:47.941 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:34:48.474 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:49:21.239 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:49:21.713 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:49:22.184 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:51:45.510 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:51:46.040 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:51:46.569 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:54:28.056 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:54:28.510 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:54:28.966 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:56:05.019 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:56:05.473 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:56:08.423 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:56:08.874 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:56:09.328 [D] [xredis.go:67]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:58:03.403 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:58:03.857 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:58:04.478 [E] [xredis.go:126]  ERR wrong number of arguments for 'setex' command
2023/08/05 16:58:41.097 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:58:41.582 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:58:42.228 [E] [xredis.go:126]  ERR invalid expire time in setex
2023/08/05 16:59:38.030 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:59:38.523 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:59:39.169 [E] [xredis.go:126]  ERR invalid expire time in setex
2023/08/05 16:59:51.144 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:59:51.630 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 16:59:52.279 [E] [xredis.go:127]  ERR invalid expire time in setex
2023/08/05 17:00:13.093 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:00:13.581 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:00:14.226 [E] [xredis.go:129]  ERR invalid expire time in setex
2023/08/05 17:00:36.197 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:00:36.683 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:00:42.664 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:00:45.498 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:00:45.982 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:00:59.714 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:01:00.200 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:01:13.453 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:01:13.939 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:01:57.583 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:01:58.084 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:02:08.711 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:02:09.204 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:02:44.275 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:02:44.760 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:03:13.452 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:03:13.945 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:04:22.411 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:04:22.895 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:06:03.871 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:06:04.348 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:06:53.099 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:06:53.575 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:07:26.462 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:07:26.938 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:07:36.732 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:07:37.214 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:08:03.271 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:08:03.748 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:09:24.800 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:09:25.293 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:09:48.450 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:09:48.948 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:10:03.145 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:10:03.638 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:10:08.448 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:10:08.943 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:10:18.534 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:10:19.030 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:10:30.175 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:10:30.671 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:11:06.047 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:11:06.537 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:11:29.320 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:11:29.811 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:11:35.353 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:11:35.880 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:11:40.415 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:11:40.944 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:11:54.569 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:11:55.096 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:12:05.799 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:12:06.329 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:12:31.815 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:12:32.347 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:12:56.461 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:12:56.986 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:14:57.289 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:14:57.814 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:15:14.644 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:15:15.172 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:15:23.170 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:15:23.706 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:15:34.339 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:15:34.869 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:15:53.726 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:15:54.265 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:15:57.783 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:16:00.759 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:16:01.293 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:19:42.270 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:19:42.765 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:19:55.120 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:19:55.612 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:21:36.074 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:21:36.545 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:21:51.302 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:21:51.773 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:23:01.383 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:23:01.854 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:23:18.890 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:23:19.365 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:27:17.674 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:27:18.155 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:27:27.769 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:27:28.243 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:28:19.000 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:28:19.480 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:30:08.766 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:30:09.247 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:30:32.150 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:30:32.625 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:30:57.026 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:30:59.532 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:31:00.058 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:32:50.282 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:32:50.811 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:32:55.568 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:32:56.106 [D] [xredis.go:65]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:33:25.887 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:33:26.425 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:34:09.403 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:34:09.936 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:34:14.484 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:34:15.028 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:34:39.538 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:34:40.062 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:34:56.261 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:34:59.169 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:34:59.699 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:35:42.931 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:35:43.423 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:35:58.108 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:35:58.606 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:36:19.331 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:36:19.832 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:36:50.337 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:36:50.829 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:37:10.258 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:37:10.753 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:37:55.969 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:37:56.463 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:38:18.723 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:38:19.212 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:38:44.191 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:38:44.682 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:38:54.462 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:38:54.956 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:39:13.371 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:39:13.865 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:39:59.599 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:40:00.093 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:40:34.366 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:40:34.860 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:40:52.953 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:40:53.444 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:41:35.428 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:41:35.924 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:43:19.645 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:43:20.144 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:43:26.635 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:43:27.130 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:45:52.425 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:45:52.909 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:46:41.916 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:46:42.403 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:46:59.342 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:46:59.828 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:47:45.259 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:47:45.752 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:47:50.259 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
